IPK,Sertifikasi,Sertifikasi Professional,Prestasi Nasional,Kompetisi Top 3 Nasional,Prestasi Internasional,Kompetisi Top 3 Internasional,Intern,Volunteer,Nilai Bobot
3.7,3,0,0,0,0,0,5,22,0.07103705752
3.83,0,0,2,3,0,0,3,14,0.08018559707
3.88,2,0,2,2,1,3,0,25,0.3033114288
3.69,0,0,2,1,1,2,0,31,0.2290807956
3.8,0,0,2,1,0,0,12,26,0.1023146795
3.82,2,0,0,0,0,0,0,36,0.09967496075
3.74,9,0,5,10,3,1,7,11,0.3222891436
3.95,0,0,0,0,0,0,17,11,0.09525976639
3.78,2,2,5,3,0,0,23,22,0.1670121786
3.53,11,0,1,0,0,0,4,29,0.1094419942
3.9,11,2,0,0,0,0,11,24,0.1228734748
3.74,1,2,2,3,0,0,9,20,0.1119546154
3.62,13,0,1,0,0,0,9,31,0.1276563263
3.89,14,0,2,4,0,0,9,36,0.16310166
3.69,4,1,1,1,0,0,5,34,0.1077414157
3.9,2,3,0,0,0,0,16,16,0.1196502407
3.87,0,0,0,0,0,0,12,26,0.09636183865
3.73,2,0,0,0,0,0,2,16,0.04953861675
3.85,0,0,2,1,0,0,20,8,0.1125261714
3.8,6,0,0,2,0,0,12,21,0.1044303067
3.78,0,0,0,0,0,0,7,12,0.05201042409
3.8,3,1,0,0,0,0,2,7,0.04005069702
3.74,2,0,5,1,0,0,11,1,0.08967369665
3.91,0,0,0,0,0,0,21,0,0.1092535579
3.8,32,0,0,0,1,0,7,25,0.2129998673
3.83,0,0,0,0,0,0,7,12,0.05207420282
3.76,0,0,0,0,0,0,3,11,0.03655242081
3.84,0,0,0,0,0,0,2,30,0.08436796262
3.87,1,0,0,0,3,5,0,25,0.4456027115
3.91,0,0,3,1,0,0,5,13,0.06407220803
3.88,3,0,3,0,2,0,8,11,0.1551172866
3.88,1,0,0,0,0,0,11,11,0.0680736523
3.83,0,1,2,1,0,0,12,20,0.09548686589
3.77,0,0,0,0,0,0,11,16,0.07480003947
3.82,0,1,0,0,0,0,2,25,0.07562848414
3.86,3,4,0,0,0,0,2,24,0.1169540679
3.81,0,1,4,3,0,0,14,26,0.1328411121
3.67,0,0,0,0,0,0,0,26,0.07305789998
3.66,0,0,1,0,0,0,0,53,0.1398590433
3.68,0,0,0,0,0,0,0,16,0.04624901781
3.9,1,0,0,0,0,0,7,14,0.05642686914
3.6,0,1,0,0,0,0,0,26,0.07705816973
3.78,0,0,0,0,0,0,43,20,0.2082541138
3.93,0,0,0,0,0,0,2,33,0.09201532704
3.72,0,0,0,0,0,0,21,28,0.1316009693
3.91,0,1,3,1,0,0,2,55,0.1537817778
3.48,0,1,0,0,0,0,27,55,0.1933471381
3.78,3,0,2,0,1,0,10,67,0.1952584331
3.9,3,1,0,0,0,0,2,26,0.08074161271
3.8,0,0,1,0,0,1,7,4,0.1107023545
3.79,0,0,3,0,0,0,0,17,0.06169586196
3.89,0,0,0,0,0,0,8,22,0.07585778095
3.78,8,1,1,0,0,0,6,11,0.07536547028
3.65,1,0,0,0,0,0,8,15,0.06171882758
3.8,3,0,1,3,0,0,0,6,0.06928712511
3.68,2,0,0,0,0,0,2,4,0.02189630073
3.52,0,4,0,0,0,0,0,37,0.1354773982
3.88,1,0,3,2,1,0,17,27,0.1489241767
3.8,0,0,5,5,4,3,0,55,0.4255301432
3.37,2,0,12,9,1,0,29,55,0.3009720041
3.87,2,0,0,0,0,0,1,11,0.03592117393
3.58,0,0,2,1,0,0,20,14,0.1166399268
3.78,0,0,0,0,0,0,0,62,0.1590071658
3.77,0,0,0,0,0,0,6,12,0.04822074151
3.8,0,0,0,0,0,0,5,22,0.06822488623
3.86,0,0,0,0,0,0,3,18,0.0545178723
3.7,1,14,1,1,0,0,16,66,0.319942954
3.46,1,1,1,0,0,0,5,15,0.05872327229
3.56,1,2,2,3,0,0,8,8,0.09707658315
3.47,1,1,1,0,0,0,6,7,0.04845756466
3.78,2,1,3,3,0,0,4,4,0.08260176388
3.83,1,1,4,3,0,0,4,6,0.08902345468
3.7,2,1,1,1,0,0,10,17,0.08222889871
3.68,1,0,17,4,0,0,0,18,0.2100395089
3.8,0,0,2,1,0,0,16,17,0.1030329267
3.7,0,1,20,19,0,0,5,17,0.3668222087
3.8,2,1,0,0,0,0,4,8,0.04324494474
3.7,2,0,0,0,0,0,13,18,0.08709602257
3.8,0,2,4,3,0,0,0,17,0.1050151176
3.88,2,0,11,7,3,3,0,19,0.407781574
3.6,0,1,9,9,1,1,8,18,0.258784957
3.78,0,1,0,0,0,0,16,18,0.1016049031
3.88,0,2,0,0,0,0,0,17,0.06860447649
3.77,2,2,0,0,2,0,5,17,0.158084172
3.89,1,1,16,13,0,0,9,18,0.2967967435
3.78,2,0,4,1,0,0,6,14,0.07669350017
3.58,0,0,0,0,2,2,4,15,0.2449535625
3.8,0,0,1,1,0,0,0,9,0.03671107695
3.82,0,1,0,0,0,0,9,14,0.06813134676
3.65,2,1,1,1,0,0,3,8,0.04766444066
3.49,0,2,1,1,0,0,3,19,0.07865383192
3.84,2,1,3,1,0,0,7,18,0.08275177956
3.84,0,1,1,0,0,0,8,17,0.07115512145
3.59,2,0,4,1,0,0,7,8,0.07206520824
3.6,0,1,3,3,0,0,0,0,0.07701204035
3.55,0,0,2,2,0,0,0,15,0.06522678858
3.89,0,0,0,0,0,0,4,18,0.05640234099
3.88,0,1,0,0,0,0,5,19,0.06581966837
3.67,2,1,2,2,0,0,4,19,0.08171696595
3.66,0,2,2,0,0,0,0,14,0.06785360532
3.4,0,1,0,0,0,0,4,18,0.06112773854
3.79,0,1,0,0,0,0,0,18,0.05729358854
3.83,0,2,4,4,0,0,0,17,0.1176403318
3.85,0,1,4,2,0,0,0,19,0.08834719859
3.3,0,1,0,0,0,0,0,10,0.03806736609
3.2,1,1,10,10,0,0,10,13,0.2315769135
3.29,2,1,3,1,0,0,6,18,0.08017196294
3.39,2,0,0,0,0,0,9,9,0.05726506734
3.91,2,0,5,3,6,2,11,18,0.4260200328
3.48,0,1,1,1,0,0,0,19,0.06468460464
3.74,2,2,4,4,0,0,17,16,0.1476976628
3.33,0,0,0,0,0,0,0,19,0.0542123308
3.37,0,3,0,0,0,0,4,17,0.08872080627
3.29,2,1,2,0,0,0,4,18,0.06762052913
3.42,0,2,0,0,0,0,4,18,0.07366171737
3.47,2,0,20,10,3,3,5,17,0.4620040039
3.71,2,2,0,0,0,0,7,18,0.08119076438
3.54,2,1,2,0,0,0,14,7,0.08669497959
3.35,1,0,0,0,0,0,17,5,0.09143821885
3.8,0,1,0,0,0,0,5,10,0.04743281881
3.76,0,2,0,0,0,0,0,19,0.07240782413
3.32,0,1,0,0,0,0,0,0,0.02470816281
3.28,1,0,0,0,0,0,0,0,0.006944731811
3.49,0,1,2,2,0,0,5,18,0.08022813333
3.58,0,2,5,4,0,0,9,17,0.132512947
3.57,0,1,4,2,0,0,0,10,0.07575623538
3.66,2,1,3,3,0,0,0,12,0.08560127596
